Id,SurveyId,HAEntityId,ComputerType,VendorId,VendorName,InUse,NofComputers,Planned,HowManyPlanned,OperatingSystem
207661,56422,862277,Thin Clients,-1,Not Reported,True,1.0,False,,Not Reported
207777,56424,862650,Laptops,-1,Not Reported,True,840.0,False,,WINDOWS 2008
207804,56425,862906,Thin Clients,-1,Not Reported,True,60.0,False,,Not Reported
218175,56424,903654,Desktops,-1,Not Reported,True,200.0,False,,WINDOWS XP
207864,56436,863048,Thin Clients,-1,Not Reported,True,65.0,False,,Not Reported
207874,56438,863101,Laptops,-1,Not Reported,True,3.0,False,,Not Reported
207897,56442,863151,Laptops,-1,Not Reported,True,50.0,False,,Not Reported
207898,56442,863151,Thin Clients,-1,Not Reported,True,30.0,False,,Not Reported
207920,56447,863187,Thin Clients,-1,Not Reported,True,4.0,False,,Not Reported
207933,56450,863195,Thin Clients,-1,Not Reported,True,1.0,False,,Not Reported
207957,56454,863257,Desktops,-1,Not Reported,True,,False,,Not Reported
207958,56454,863258,Desktops,-1,Not Reported,True,,False,,Not Reported
207959,56454,863258,Laptops,-1,Not Reported,True,,False,,Not Reported
207977,56455,863354,Thin Clients,-1,Not Reported,True,,False,,WINDOWS XP
207982,56456,863397,Laptops,-1,Not Reported,True,,False,,Not Reported
207997,56458,863422,Desktops,-1,Not Reported,False,,True,,Not Reported
208056,56458,863449,Thin Clients,-1,Not Reported,False,,True,2000.0,Not Reported
208065,56458,863452,Desktops,-1,Not Reported,True,,False,,Not Reported
208003,56458,863428,Thin Clients,-1,Not Reported,True,1.0,False,,Not Reported
208015,56458,863435,Thin Clients,-1,Not Reported,True,35.0,False,,Not Reported
208016,56458,863435,Laptops,-1,Not Reported,True,98.0,False,,Not Reported
208102,56464,864479,Desktops,-1,Not Reported,True,25.0,False,,WINDOWS XP
208103,56464,864479,Thin Clients,-1,Not Reported,True,250.0,False,,WINDOWS XP
208136,56464,864486,Laptops,-1,Not Reported,False,,True,,Not Reported
208172,56471,864706,Thin Clients,-1,Not Reported,True,,False,,Not Reported
216157,56477,864815,Thin Clients,-1,Not Reported,False,,True,,WINDOWS 7
208228,56480,864953,Laptops,-1,Not Reported,True,138.0,False,,WINDOWS XP
208236,56480,864955,Desktops,-1,Not Reported,True,31.0,False,,WINDOWS XP
208333,56493,865251,Thin Clients,-1,Not Reported,True,15.0,False,,Not Reported
208338,56493,865252,PC Blades,-1,Not Reported,False,,True,,Not Reported
208363,56498,865428,Desktops,-1,Not Reported,True,290.0,False,,Not Reported
208364,56498,865428,Desktops,-1,Not Reported,False,,True,55.0,Not Reported
