id,SurveyId,HAEntityId,NPI_Number,ServiceType
79358,56284,860668,1144221847,Hospital
80852,56664,871616,1881613909,Hospital
80853,56664,871616,1699819003,Hospital
79851,56481,865011,1982047908,Hospital
79852,56481,865011,1962795120,Hospital
79614,56424,862656,1255406369,Hospital
81230,56797,878405,1831207547,Hospital
82643,57094,887601,1467491027,Hospital
82647,57094,887604,1730133844,Hospital
82655,57094,887610,1770539637,Hospital
82656,57094,887610,1861521742,Hospital
82634,57094,887593,1215976675,Hospital
82812,57095,888579,1114958337,Hospital
82813,57095,888579,1821115437,Hospital
82814,57095,888579,1811242969,Hospital
82622,57094,887582,1669471488,Hospital
82623,57094,887582,1043585524,Hospital
82593,57094,887568,1336194893,Hospital
82594,57094,887568,1356528269,Hospital
82595,57094,887569,1609816370,Hospital
82596,57094,887569,1538345251,Hospital
84242,57231,897530,1760466114,Hospital
84347,57234,898324,1457351884,Hospital
84289,57234,898270,1417367558,Hospital
84072,57209,896322,1962488411,Hospital
84073,57209,896322,1902983943,Hospital
84077,57209,896326,1417032996,Hospital
84079,57209,896328,1801973862,Hospital
84084,57209,896333,1659575272,Hospital
84107,57209,896357,1821167818,Hospital
80769,56655,871146,1134127749,Hospital
80770,56655,871146,1043217888,Hospital
83543,57184,892321,1215980560,Hospital
78558,55808,853330,1609870310,Hospital
78559,55809,853338,1346241213,Hospital
78560,55809,853338,1609989581,Hospital
78561,55809,853338,1790893469,Hospital
78562,55811,853350,1528162799,Hospital
78563,55811,853350,1780723650,Hospital
78564,55812,853353,1225038136,Hospital
78565,55812,853354,1952301863,Hospital
78566,55812,853355,1477554152,Hospital
78569,56015,855941,1245212877,Hospital
78570,56016,855944,1255376406,Hospital
78571,56017,855952,1114969169,Hospital
78572,56017,855952,1841234531,Hospital
78573,56017,855952,1770741530,Hospital
78574,56017,855952,1881856425,Hospital
78575,56017,855952,1710087127,Hospital
78576,56018,855962,1104903103,Hospital
78577,56018,855962,1245312321,Hospital
78578,56018,855962,1487729083,Hospital
78579,56018,855962,1306070214,Hospital
78580,56018,855962,1366658809,Hospital
78581,56019,855966,1225032881,Hospital
78582,56020,855987,1962406389,Hospital
78583,56021,855990,1336144021,Hospital
78584,56021,855990,1518155217,Hospital
78585,56022,855995,1134128911,Hospital
78586,56022,855995,1861691917,Hospital
78587,56023,856000,1215960315,Hospital
78588,56024,856011,1003869082,Hospital
78589,56025,856015,1992729461,Hospital
78590,56025,856015,1770618795,Hospital
78591,56026,856019,1508086141,Hospital
78592,56026,856019,1508899816,Hospital
78593,56026,856019,1154521615,Hospital
78594,56027,856024,1487684122,Hospital
78595,56027,856024,1235408253,Hospital
78596,56027,856025,1326028978,Hospital
78597,56027,856025,1982873212,Hospital
78598,56028,856035,1992759633,Hospital
78599,56029,856042,1780688333,Hospital
78600,56030,856044,1952463036,Hospital
78601,56031,856047,1265493720,Hospital
78602,56032,856056,1003894122,Hospital
78603,56033,856061,1154312981,Hospital
78604,56034,856066,1457526139,Hospital
78605,56034,856066,1356305395,Hospital
78606,56035,856069,1669418877,Hospital
78607,56036,856073,1053537092,Hospital
78608,56036,856073,1124244165,Hospital
78609,56036,856073,1396961330,Hospital
78610,56036,856073,1447476478,Hospital
78611,56036,856073,1487870424,Hospital
78612,56036,856073,1578568853,Hospital
78613,56036,856073,1588791107,Hospital
78614,56036,856073,1679799613,Hospital
78615,56036,856073,1801016449,Hospital
78616,56036,856073,1831315860,Hospital
78617,56036,856073,1831358696,Hospital
78618,56036,856073,1851517890,Hospital
