Id,SurveyId,HAEntityId,ADM,ADMPlanned,ADMTimeFrame,ADMPerc,Robot,RobotPlanned,RobotTimeFrame,DeptMedical,DeptED,DeptOR,DeptOther,DeptOtherName,EMAR_CPOE,CarouselsTimeFrame,CarouselsPlanned,Carousels,InventoryMgmt,PharmaceuticalSupplyVendorID,PharmaceuticalSupplyVendorName
100262,56424,862656,0,0,,,0,0,,0,0,0,0,,,,0,0,1378,,
101535,56797,878405,0,0,,,0,0,,0,0,0,0,,,,0,0,1380,,
102373,57094,887601,0,0,,,0,0,,0,0,0,0,,,,0,0,1379,,
102376,57094,887604,0,0,,,0,0,,0,0,0,0,,,,0,0,1379,,
102382,57094,887610,0,0,,,0,0,,0,0,0,0,,,,0,0,1379,,
102365,57094,887593,0,0,,,0,0,,0,0,0,0,,,,0,0,1379,,
102472,57095,888579,0,0,,,0,0,,0,0,0,0,,,,0,0,,,
102354,57094,887582,1,1,,95,0,0,,1,1,1,0,,,,0,0,1381,,
103163,57209,896322,0,0,,,0,0,,0,0,0,0,,,,0,0,1381,,
103167,57209,896326,0,0,,,0,0,,0,0,0,0,,,,0,0,1381,,
103169,57209,896328,0,0,,,0,0,,0,0,0,0,,,,0,0,1381,,
103174,57209,896333,0,0,,,0,0,,0,0,0,0,,,,0,0,1381,,
103198,57209,896357,0,0,,,0,0,,0,0,0,0,,,,0,0,1381,,
100830,56655,871146,1,0,,85,0,0,,1,1,1,0,,,,0,0,1380,,
102883,57184,892321,1,1,,80,0,0,,1,1,1,0,,,,0,0,1379,,
99269,55809,853338,0,0,,,0,0,,0,0,0,0,,,,0,0,1379,,
99274,55811,853350,1,1,,95,0,0,,1,1,1,0,,,,0,0,1380,,
99275,55812,853353,1,0,,,0,0,,1,1,1,0,,,,0,0,1379,,
99276,55812,853354,1,0,,,0,0,,1,1,1,0,,,,0,0,1379,,
99277,55812,853355,1,0,,,0,0,,1,1,1,0,,,,0,0,1379,,
99748,56015,855941,1,1,,95,0,0,,1,0,0,0,,,,0,0,1378,,
99749,56016,855944,1,1,,100,0,0,,1,1,1,0,,,,0,0,1381,,
99750,56017,855952,1,1,,30,0,0,,1,1,1,0,,,,0,0,1381,,
99751,56018,855962,1,1,,90,0,0,,1,1,0,0,,,,0,0,1378,,
100131,56284,860668,0,0,,,0,0,,0,0,0,0,,,,0,0,1381,,
100895,56664,871616,0,0,,,0,0,,0,0,0,0,,,,0,0,,,
99753,56020,855987,1,1,,95,0,0,,1,1,0,0,,,,0,0,1381,,
99754,56021,855990,0,0,,,0,0,,0,0,0,0,,,,0,0,1381,,
99758,56025,856015,1,1,,95,0,0,,1,1,0,0,,,,0,0,1381,,
99760,56027,856024,1,0,,100,0,0,,1,1,1,1,"ICU, OB/GYN, Outpatient Services, Radiology",,,0,0,1379,,
99761,56027,856025,1,0,,100,0,0,,1,1,0,0,,,,0,0,1379,,
99762,56028,856035,0,0,,,0,0,,0,0,0,0,,,,0,0,1378,,
99763,56029,856042,1,1,,100,0,0,,1,1,1,0,,,,0,0,1379,,
99766,56032,856056,1,1,,,0,0,,0,0,1,1,"ICU",,,0,0,1378,,
99769,56035,856069,0,0,,,0,0,,0,0,0,0,,,,0,0,1379,,
99777,56043,856104,1,1,,50,0,0,,1,1,0,0,,,,0,0,1378,,
99778,56044,856110,1,1,,10,1,0,,1,1,1,0,,,,1,1,1379,,
99779,56044,856111,1,1,,80,0,0,,1,1,1,0,,,,0,0,1378,,
99780,56044,856112,1,1,,98,0,0,,1,1,0,0,,,,0,0,1378,,
99781,56044,856113,1,1,,99,0,0,,1,1,0,0,,,,0,0,1378,,
99782,56045,856146,0,0,,,0,0,,0,0,0,0,,,,0,0,1379,,
99783,56046,856152,0,0,,,0,0,,0,0,0,0,,,,0,0,1379,,
99805,56049,856211,1,1,,30,0,0,,1,1,1,0,,,,0,0,1379,,
99806,56049,856212,1,1,,95,0,0,,1,1,1,0,,,,0,0,1380,,
99807,56049,856213,1,1,,70,0,0,,1,1,1,0,,,,0,0,,,
99808,56049,856214,1,0,,40,0,0,,1,1,1,0,,,,0,1,1380,,
99809,56049,856215,1,1,,70,0,0,,1,1,1,0,,,,0,0,1380,,
99810,56049,856216,1,1,,70,0,0,,1,1,1,0,,,,0,0,1379,,
99811,56049,856217,1,1,,70,0,0,,1,0,1,0,,,,0,0,1379,,
99789,56049,856195,1,0,,100,1,0,,1,1,1,0,,,,0,1,1379,,
99790,56049,856196,1,1,,100,0,0,,1,1,1,1,"Geropsychiatry, ICU",,,1,1,1379,,
99792,56049,856198,1,1,,95,0,0,,0,0,0,0,,,,1,1,1379,,
99793,56049,856199,1,1,,75,0,0,,0,0,0,0,,,,0,0,1379,,
