Id,SurveyId,HAEntityId,ComponentId,Component,ComponentOther,Perc,Type
273172,57148,890382,1139,Personal Health Record (PHR),,,Consumer Active
273173,57148,890383,1135,Pre-Registration,,,Consumer Active
273174,57148,890383,1137,Bill Payment,,,Consumer Active
273175,57148,890384,1135,Pre-Registration,,,Consumer Active
273176,57148,890384,1137,Bill Payment,,,Consumer Active
273177,57148,890384,1138,Access to Diagnostic Tests,,,Consumer Active
273178,57148,890384,1139,Personal Health Record (PHR),,,Consumer Active
273179,57148,890385,1137,Bill Payment,,,Consumer Active
273180,57148,890385,1138,Access to Diagnostic Tests,,,Consumer Active
273181,57148,890385,1139,Personal Health Record (PHR),,,Consumer Active
273182,57148,890386,1137,Bill Payment,,,Consumer Active
273183,57148,890386,1138,Access to Diagnostic Tests,,,Consumer Active
273184,57148,890386,1139,Personal Health Record (PHR),,,Consumer Active
273185,57148,890387,1135,Pre-Registration,,,Consumer Active
273186,57148,890387,1137,Bill Payment,,,Consumer Active
273187,57148,890388,1135,Pre-Registration,,,Consumer Active
273188,57148,890388,1137,Bill Payment,,,Consumer Active
273189,57148,890389,1135,Pre-Registration,,,Consumer Active
273190,57148,890389,1137,Bill Payment,,,Consumer Active
273191,57148,890389,1138,Access to Diagnostic Tests,,,Consumer Active
273192,57148,890389,1139,Personal Health Record (PHR),,,Consumer Active
273193,57148,890390,1137,Bill Payment,,,Consumer Active
273194,57148,890390,1138,Access to Diagnostic Tests,,,Consumer Active
273195,57148,890390,1139,Personal Health Record (PHR),,,Consumer Active
273196,57148,890391,1135,Pre-Registration,,,Consumer Active
273197,57148,890391,1137,Bill Payment,,,Consumer Active
273198,57148,890392,1135,Pre-Registration,,,Consumer Active
273199,57148,890392,1137,Bill Payment,,,Consumer Active
273200,57148,890393,1135,Pre-Registration,,,Consumer Active
273201,57148,890393,1137,Bill Payment,,,Consumer Active
273202,57148,890393,1138,Access to Diagnostic Tests,,,Consumer Active
273203,57148,890393,1139,Personal Health Record (PHR),,,Consumer Active
273204,57148,890394,1135,Pre-Registration,,,Consumer Active
273205,57148,890394,1137,Bill Payment,,,Consumer Active
273206,57148,890394,1138,Access to Diagnostic Tests,,,Consumer Active
273207,57148,890394,1139,Personal Health Record (PHR),,,Consumer Active
273208,57148,890395,1137,Bill Payment,,,Consumer Active
273209,57148,890395,1138,Access to Diagnostic Tests,,,Consumer Active
273210,57148,890395,1139,Personal Health Record (PHR),,,Consumer Active
273211,57148,890396,1135,Pre-Registration,,,Consumer Active
273212,57148,890396,1137,Bill Payment,,,Consumer Active
273213,57148,890397,1135,Pre-Registration,,,Consumer Active
273214,57148,890397,1137,Bill Payment,,,Consumer Active
273215,57148,890398,1137,Bill Payment,,,Consumer Active
273216,57148,890398,1138,Access to Diagnostic Tests,,,Consumer Active
273217,57148,890398,1139,Personal Health Record (PHR),,,Consumer Active
273218,57148,890399,1135,Pre-Registration,,,Consumer Active
273219,57148,890399,1137,Bill Payment,,,Consumer Active
273220,57148,890400,1135,Pre-Registration,,,Consumer Active
273221,57148,890400,1137,Bill Payment,,,Consumer Active
273222,57148,890401,1135,Pre-Registration,,,Consumer Active
273223,57148,890401,1137,Bill Payment,,,Consumer Active
273224,57148,890402,1135,Pre-Registration,,,Consumer Active
273225,57148,890402,1137,Bill Payment,,,Consumer Active
273226,57148,890402,1138,Access to Diagnostic Tests,,,Consumer Active
273227,57148,890402,1139,Personal Health Record (PHR),,,Consumer Active
273230,57148,890404,1135,Pre-Registration,,,Consumer Active
273231,57148,890404,1137,Bill Payment,,,Consumer Active
273232,57148,890404,1138,Access to Diagnostic Tests,,,Consumer Active
273233,57148,890404,1139,Personal Health Record (PHR),,,Consumer Active
273234,57148,890405,1135,Pre-Registration,,,Consumer Active
273235,57148,890405,1137,Bill Payment,,,Consumer Active
273236,57148,890405,1138,Access to Diagnostic Tests,,,Consumer Active
273237,57148,890405,1139,Personal Health Record (PHR),,,Consumer Active
273238,57148,890406,1135,Pre-Registration,,,Consumer Active
273239,57148,890406,1137,Bill Payment,,,Consumer Active
273240,57148,890406,1138,Access to Diagnostic Tests,,,Consumer Active
273241,57148,890406,1139,Personal Health Record (PHR),,,Consumer Active
273242,57148,890407,1135,Pre-Registration,,,Consumer Active
273243,57148,890407,1137,Bill Payment,,,Consumer Active
273244,57148,890407,1138,Access to Diagnostic Tests,,,Consumer Active
273245,57148,890407,1139,Personal Health Record (PHR),,,Consumer Active
273246,57148,890408,1138,Access to Diagnostic Tests,,,Consumer Active
273247,57148,890408,1139,Personal Health Record (PHR),,,Consumer Active
273248,57148,890409,1137,Bill Payment,,,Consumer Active
273249,57148,890409,1139,Personal Health Record (PHR),,,Consumer Active
273250,57148,890410,1127,For Retrieving Diagnostic Results,,,Active
273251,57148,890410,1129,For Electronic Signatures,,,Active
273252,57148,890410,1137,Bill Payment,,,Consumer Active
273253,57148,890410,1138,Access to Diagnostic Tests,,,Consumer Active
273254,57148,890410,1139,Personal Health Record (PHR),,,Consumer Active
273255,57148,890411,1135,Pre-Registration,,,Consumer Active
273256,57148,890411,1137,Bill Payment,,,Consumer Active
273257,57148,890412,1127,For Retrieving Diagnostic Results,,76-100%,Active
